Affiliation,PrefClassYear,Degrees,StateOrProvince,Country
Alumni,1989.0,MSc Geop '89,TX,
Alumni,2021.0,MSc Geop '21,,Turkey
Alumni,1987.0,BSc Geop Eng '87,CO,
Alumni,1985.0,BSc Geop Eng '85,FL,
Alumni,1954.0,Geop Engineer '54,MD,
Alumni,1998.0,BSc Geop Eng '98,OR,
Alumni,1986.0,"BSc Geop Eng '86, BSc Eng '88",WA,
Alumni,2013.0,"BSc Geop Eng '13, MSc Geop '14",OK,
Alumni,2019.0,BSc Geop Eng '19,CO,
Alumni,2019.0,"BSc Geop Eng '19, MSc Geop '21",CO,
Alumni,2013.0,BSc Geop Eng '13,CO,
Alumni,1965.0,Geop Engineer '65,CO,
Alumni,1978.0,BSc Geop Eng '78,CO,
Alumni,1987.0,BSc Geop Eng '87,TX,
Alumni,2015.0,MSc Geop '15,TX,
Alumni,1990.0,MSc Geop '90,CA,
Alumni,2018.0,BSc Geop Eng '18,UT,
Alumni,2008.0,BSc Geop Eng '08,CO,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,1983.0,BSc Geop Eng '83,WA,
Alumni,2001.0,PhD Geop '01,CA,
Alumni,2019.0,MSc Geop '19,,Turkey
Alumni,1980.0,PhD Geop '80,NC,
Alumni,2014.0,BSc Geop Eng '14,TX,
Alumni,2018.0,"BSc Geop Eng '18, MSc Geop '20",TX,
Alumni,1971.0,BSc Geop Eng '71,CO,
Alumni,1991.0,BSc Geop Eng '91,NY,
Alumni,1981.0,BSc Geop Eng '81,CO,
Alumni,2005.0,MSc Geop '05,NY,
Alumni,1986.0,BSc Geop Eng '86,MA,
Alumni,1983.0,BSc Geop Eng '83,CO,
